<http://www.yso.fi/onto/yso/p10705>	metsäteollisuus
<http://www.yso.fi/onto/yso/p21430>	luova talous
<http://www.yso.fi/onto/yso/p10706>	paperiteollisuus
<http://www.yso.fi/onto/yso/p2851>	taide
<http://www.yso.fi/onto/yso/p7301>	rakennemuutos
<http://www.yso.fi/onto/yso/p372>	kulttuuri (toimintatavat)
<http://www.yso.fi/onto/yso/p4023>	kulttuurielämä
<http://www.yso.fi/onto/yso/p7227>	yhteistoiminta
<http://www.yso.fi/onto/yso/p12409>	tehtaat
<http://www.yso.fi/onto/yso/p1688>	kaupungit
<http://www.yso.fi/onto/yso/p94301>	Mänttä
