<http://www.yso.fi/onto/yso/p16380>	musiikkiterapia
<http://www.yso.fi/onto/yso/p15327>	nuoruus
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p15514>	murrosikä
<http://www.yso.fi/onto/yso/p6761>	kehityspsykologia
<http://www.yso.fi/onto/yso/p7359>	musiikkikasvatus
<http://www.yso.fi/onto/yso/p1808>	musiikki
<http://www.yso.fi/onto/yso/p3485>	tunteet
<http://www.yso.fi/onto/yso/p9742>	minä
<http://www.yso.fi/onto/yso/p9743>	identiteetti
<http://www.yso.fi/onto/yso/p266>	itsetunto
<http://www.yso.fi/onto/yso/p1884>	musiikkiliikunta
