<http://www.yso.fi/onto/yso/p2901>	harrastukset
<http://www.yso.fi/onto/yso/p29219>	urbaani löytöretkeily
<http://www.yso.fi/onto/yso/p14049>	seikkailu
<http://www.yso.fi/onto/yso/p23085>	eettisyys
<http://www.yso.fi/onto/yso/p17179>	kaupunkiympäristö
<http://www.yso.fi/onto/yso/p11295>	rakennettu ympäristö
<http://www.yso.fi/onto/yso/p494>	julkiset tilat
<http://www.yso.fi/onto/yso/p2290>	suojelu
<http://www.yso.fi/onto/yso/p18863>	nostalgia
<http://www.yso.fi/onto/yso/p4806>	nuorisokulttuuri
<http://www.yso.fi/onto/yso/p9509>	kaupunkikulttuuri
