<http://www.yso.fi/onto/yso/p10255>	maahanmuuttopolitiikka
<http://www.yso.fi/onto/yso/p14542>	maahanmuutto
<http://www.yso.fi/onto/yso/p6165>	maahanmuuttajat
<http://www.yso.fi/onto/yso/p24074>	kotoutuminen
<http://www.yso.fi/onto/yso/p24061>	kielen oppiminen
<http://www.yso.fi/onto/yso/p3542>	työllistyminen
<http://www.yso.fi/onto/yso/p1731>	integraatio
<http://www.yso.fi/onto/yso/p7905>	akkulturaatio
<http://www.yso.fi/onto/yso/p17028>	etnisyys
<http://www.yso.fi/onto/yso/p372>	kulttuuri (toimintatavat)
<http://www.yso.fi/onto/yso/p11253>	venäläisyys
<http://www.yso.fi/onto/yso/p5291>	sukupuoli
<http://www.yso.fi/onto/yso/p2794>	perhe (ilmiöt)
