<http://www.yso.fi/onto/yso/p20094>	perheyritykset
<http://www.yso.fi/onto/yso/p1178>	yrittäjät
<http://www.yso.fi/onto/yso/p1182>	yrittäjyys
<http://www.yso.fi/onto/yso/p1044>	arvot
<http://www.yso.fi/onto/yso/p7829>	diskurssianalyysi
<http://www.yso.fi/onto/yso/p13523>	tekstintutkimus
<http://www.yso.fi/onto/yso/p20540>	lehdistökirjoittelu
<http://www.yso.fi/onto/yso/p2421>	sanomalehdet
<http://www.yso.fi/onto/yso/p1255>	aikakauslehdet
<http://www.yso.fi/onto/yso/p19654>	reportaasit
<http://www.yso.fi/onto/yso/p4064>	vapaus
<http://www.yso.fi/onto/yso/p2416>	onnellisuus
<http://www.yso.fi/onto/yso/p1810>	työ
<http://www.yso.fi/onto/yso/p2418>	menestyminen
