<http://www.yso.fi/onto/yso/p778>	taideteokset
<http://www.yso.fi/onto/yso/p26978>	materiaalisuus
<http://www.yso.fi/onto/yso/p7009>	merkitykset (tieto)
<http://www.yso.fi/onto/yso/p8475>	kulttuuriperintö
<http://www.yso.fi/onto/yso/p3746>	taiteentutkimus
<http://www.yso.fi/onto/yso/p17020>	kuvallinen ilmaisu
<http://www.yso.fi/onto/yso/p18318>	konservointi
<http://www.yso.fi/onto/yso/p23734>	taidekäsitykset
<http://www.yso.fi/onto/yso/p2977>	fenomenologia
<http://www.yso.fi/onto/yso/p5597>	taidefilosofia
<http://www.yso.fi/onto/yso/p17039>	tunnustuksellisuus
<http://www.yso.fi/onto/yso/p4511>	tulkinta
<http://www.yso.fi/onto/yso/p2851>	taide
<http://www.yso.fi/onto/yso/p21192>	pitkäaikaissäilytys
<http://www.yso.fi/onto/yso/p1055>	ontologia (filosofia)
<http://www.yso.fi/onto/yso/p7010>	merkitys (filosofia)
<http://www.yso.fi/onto/yso/p1149>	kuvat
