<http://www.yso.fi/onto/yso/p14671>	hyperteksti
<http://www.yso.fi/onto/yso/p25633>	multimodaalisuus
<http://www.yso.fi/onto/yso/p17213>	intertekstuaalisuus
<http://www.yso.fi/onto/yso/p14774>	tekijyys
<http://www.yso.fi/onto/yso/p17999>	metafiktio
<http://www.yso.fi/onto/yso/p9540>	tekstilajit
<http://www.yso.fi/onto/yso/p17134>	genret
<http://www.yso.fi/onto/yso/p24663>	vastaanotto (reseptio)
<http://www.yso.fi/onto/yso/p10824>	dialogisuus
<http://www.yso.fi/onto/yso/p4511>	tulkinta
<http://www.yso.fi/onto/yso/p1248>	myytit
<http://www.yso.fi/onto/yso/p13592>	poststrukturalismi
