<http://www.yso.fi/onto/yso/p2434>	vanhukset
<http://www.yso.fi/onto/yso/p6935>	yksinäisyys
<http://www.yso.fi/onto/yso/p793>	ehkäisy
<http://www.yso.fi/onto/yso/p23862>	ystävystyminen
<http://www.yso.fi/onto/yso/p2433>	ikääntyneet
<http://www.yso.fi/onto/yso/p20748>	ryhmätoiminta
<http://www.yso.fi/onto/yso/p10716>	ryhmäkuntoutus
<http://www.yso.fi/onto/yso/p12954>	psykososiaalinen tuki
<http://www.yso.fi/onto/yso/p14059>	psykososiaalinen kuntoutus
<http://www.yso.fi/onto/yso/p20651>	sosiokulttuurinen innostaminen
<http://www.yso.fi/onto/yso/p26028>	ystävätoiminta
<http://www.yso.fi/onto/yso/p14489>	aluetyö
<http://www.yso.fi/onto/yso/p6448>	vanhustyö
