<http://www.yso.fi/onto/yso/p1161>	journalismi
<http://www.yso.fi/onto/yso/p1160>	kansalaisjournalismi
<http://www.yso.fi/onto/yso/p1021>	toimittajat
<http://www.yso.fi/onto/yso/p18331>	toimitustyö
<http://www.yso.fi/onto/yso/p13915>	uutiset
<http://www.yso.fi/onto/yso/p21431>	uutisointi
<http://www.yso.fi/onto/yso/p4280>	yleisö
<http://www.yso.fi/onto/yso/p2445>	media
<http://www.yso.fi/onto/yso/p856>	joukkoviestimet
<http://www.yso.fi/onto/yso/p5575>	uusmedia
<http://www.yso.fi/onto/yso/p20774>	sosiaalinen media
<http://www.yso.fi/onto/yso/p10591>	vuorovaikutus
<http://www.yso.fi/onto/yso/p4899>	professiot
<http://www.yso.fi/onto/yso/p943>	moniammatillisuus
<http://www.yso.fi/onto/yso/p10139>	ammattiryhmät
<http://www.yso.fi/onto/yso/p14072>	edunvalvonta
