<http://www.yso.fi/onto/yso/p19327>	perusopetus
<http://www.yso.fi/onto/yso/p1117>	opettajat
<http://www.yso.fi/onto/yso/p8790>	opettajuus
<http://www.yso.fi/onto/yso/p3999>	luokanopettajat
<http://www.yso.fi/onto/yso/p1050>	opettaja-oppilassuhde
<http://www.yso.fi/onto/yso/p8131>	oppilaat
<http://www.yso.fi/onto/yso/p10575>	ongelmalapset
<http://www.yso.fi/onto/yso/p10574>	ongelmanuoret
<http://www.yso.fi/onto/yso/p20629>	mielenterveysongelmat
<http://www.yso.fi/onto/yso/p990>	mielenterveyshäiriöt
<http://www.yso.fi/onto/yso/p10573>	käyttäytymishäiriöt
<http://www.yso.fi/onto/yso/p9793>	tunne-elämän häiriöt
