<http://www.yso.fi/onto/yso/p3999>	luokanopettajat
<http://www.yso.fi/onto/yso/p16486>	opiskelijat
<http://www.yso.fi/onto/yso/p10746>	opettajankoulutus
<http://www.yso.fi/onto/yso/p3209>	kokemukset
<http://www.yso.fi/onto/yso/p11597>	elämäkerrat
<http://www.yso.fi/onto/yso/p13035>	liikuntaharrastus
<http://www.yso.fi/onto/yso/p965>	urheilu
<http://www.yso.fi/onto/yso/p8790>	opettajuus
<http://www.yso.fi/onto/yso/p12025>	liikunnanopettajat
<http://www.yso.fi/onto/yso/p15764>	liikuntakasvatus
<http://www.yso.fi/onto/yso/p6895>	kerronta
