<http://www.yso.fi/onto/yso/p5465>	huumeet
<http://www.yso.fi/onto/yso/p9414>	riippuvuus
<http://www.yso.fi/onto/yso/p392>	hoitomenetelmät
<http://www.yso.fi/onto/yso/p25321>	ylläpitohoito
<http://www.yso.fi/onto/yso/p979>	korvaushoito
<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p506>	hallinta
<http://www.yso.fi/onto/yso/p16438>	kontrollipolitiikka
<http://www.yso.fi/onto/yso/p7137>	sosiaalinen kontrolli
<http://www.yso.fi/onto/yso/p2552>	vallankäyttö
<http://www.yso.fi/onto/yso/p2551>	valta
<http://www.yso.fi/onto/yso/p1069>	huumepolitiikka
<http://www.yso.fi/onto/yso/p94426>	Suomi
