<http://www.yso.fi/onto/yso/p554>	johtaminen
<http://www.yso.fi/onto/yso/p8420>	johtajuus
<http://www.yso.fi/onto/yso/p21580>	johtamiskoulutus
<http://www.yso.fi/onto/yso/p13582>	johtajakoulutus
<http://www.yso.fi/onto/yso/p16991>	naiset
<http://www.yso.fi/onto/yso/p5291>	sukupuoli
<http://www.yso.fi/onto/yso/p14983>	urakehitys
<http://www.yso.fi/onto/yso/p20671>	työura
<http://www.yso.fi/onto/yso/p14758>	sotilasjohtaminen
<http://www.yso.fi/onto/yso/p1699>	varusmiespalvelus
<http://www.yso.fi/onto/yso/p21333>	sukupuolisensitiivisyys
<http://www.yso.fi/onto/yso/p7457>	puolustusvoimat
<http://www.yso.fi/onto/yso/p12919>	varusmiehet
<http://www.yso.fi/onto/yso/p19632>	maanpuolustustyö
<http://www.yso.fi/onto/yso/p2335>	toimijuus
