<http://www.yso.fi/onto/yso/p2964>	tiedonhaku
<http://www.yso.fi/onto/yso/p20405>	Internet
<http://www.yso.fi/onto/yso/p22952>	Google
<http://www.yso.fi/onto/yso/p15108>	informaatiolukutaito
<http://www.yso.fi/onto/yso/p22257>	tekstitaito
<http://www.yso.fi/onto/yso/p20611>	luetun ymmärtäminen
<http://www.yso.fi/onto/yso/p26367>	tekstinymmärtäminen
<http://www.yso.fi/onto/yso/p21216>	mediataidot
<http://www.yso.fi/onto/yso/p14440>	lähdekritiikki
<http://www.yso.fi/onto/yso/p16485>	koululaiset
<http://www.yso.fi/onto/yso/p21292>	yläkoulu
