<http://www.yso.fi/onto/yso/p2494>	puheviestintä
<http://www.yso.fi/onto/yso/p21539>	viestintätutkimus
<http://www.yso.fi/onto/yso/p10631>	kyselytutkimus
<http://www.yso.fi/onto/yso/p6253>	itsearviointi
<http://www.yso.fi/onto/yso/p2518>	peruskoulu
<http://www.yso.fi/onto/yso/p71>	kiusaaminen
<http://www.yso.fi/onto/yso/p1117>	opettajat
<http://www.yso.fi/onto/yso/p16485>	koululaiset
<http://www.yso.fi/onto/yso/p8131>	oppilaat
<http://www.yso.fi/onto/yso/p4074>	vanhemmat
<http://www.yso.fi/onto/yso/p1050>	opettaja-oppilassuhde
<http://www.yso.fi/onto/yso/p22003>	esimies-alaissuhde
<http://www.yso.fi/onto/yso/p1835>	työhyvinvointi
<http://www.yso.fi/onto/yso/p1831>	työtyytyväisyys
<http://www.yso.fi/onto/yso/p6334>	yhteistyö
<http://www.yso.fi/onto/yso/p10590>	sosiaalinen vuorovaikutus
<http://www.yso.fi/onto/yso/p7069>	sanallinen viestintä
<http://www.yso.fi/onto/yso/p1855>	sanaton viestintä
<http://www.yso.fi/onto/yso/p129>	työn kuormittavuus
<http://www.yso.fi/onto/yso/p131>	psyykkinen kuormittavuus
<http://www.yso.fi/onto/yso/p67>	väkivalta
<http://www.yso.fi/onto/yso/p66>	henkinen väkivalta
<http://www.yso.fi/onto/yso/p69>	työpaikkakiusaaminen
<http://www.yso.fi/onto/yso/p70>	koulukiusaaminen
<http://www.yso.fi/onto/yso/p4242>	subjektiivisuus
