<http://www.yso.fi/onto/yso/p2658>	terveydenhuolto
<http://www.yso.fi/onto/yso/p3843>	avustustoiminta
<http://www.yso.fi/onto/yso/p469>	lääketiede
<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p7586>	sosiaalihistoria
<http://www.yso.fi/onto/yso/p8477>	traditio
<http://www.yso.fi/onto/yso/p21700>	transnationaalisuus
<http://www.yso.fi/onto/yso/p17542>	unitaarit
<http://www.yso.fi/onto/yso/p7545>	uskonnolliset järjestöt
<http://www.yso.fi/onto/yso/p94426>	Suomi
<http://www.yso.fi/onto/yso/p105087>	Saksa
<http://www.yso.fi/onto/yso/p105111>	Italia
