<http://www.yso.fi/onto/yso/p16380>	musiikkiterapia
<http://www.yso.fi/onto/yso/p1808>	musiikki
<http://www.yso.fi/onto/yso/p8505>	sotaveteraanit
<http://www.yso.fi/onto/yso/p6378>	ryhmäterapia
<http://www.yso.fi/onto/yso/p2433>	ikääntyneet
<http://www.yso.fi/onto/yso/p5056>	ikääntyminen
<http://www.yso.fi/onto/yso/p3320>	kuntoutus
<http://www.yso.fi/onto/yso/p9743>	identiteetti
<http://www.yso.fi/onto/yso/p2428>	laulaminen
<http://www.yso.fi/onto/yso/p2371>	laulut
<http://www.yso.fi/onto/yso/p10164>	narratiivisuus
<http://www.yso.fi/onto/yso/p10684>	hoitotyö
