<http://www.yso.fi/onto/yso/p25099>	organisaatiomuutokset
<http://www.yso.fi/onto/yso/p12913>	muutosjohtaminen
<http://www.yso.fi/onto/yso/p8245>	pienyritykset
<http://www.yso.fi/onto/yso/p20094>	perheyritykset
<http://www.yso.fi/onto/yso/p14845>	sukupolvenvaihdos
<http://www.yso.fi/onto/yso/p25177>	muutosvalmius
<http://www.yso.fi/onto/yso/p13643>	muutosvastarinta
<http://www.yso.fi/onto/yso/p3485>	tunteet
<http://www.yso.fi/onto/yso/p7413>	arviointi
<http://www.yso.fi/onto/yso/p10361>	hyväksyminen
<http://www.yso.fi/onto/yso/p7075>	persoonallisuus
<http://www.yso.fi/onto/yso/p5283>	kognitiiviset prosessit
