<http://www.yso.fi/onto/yso/p5639>	ilmasto
<http://www.yso.fi/onto/yso/p13084>	luonto
<http://www.yso.fi/onto/yso/p3511>	asutus
<http://www.yso.fi/onto/yso/p4207>	väestö
<http://www.yso.fi/onto/yso/p4503>	maatalous
<http://www.yso.fi/onto/yso/p5729>	ilmastonmuutokset
<http://www.yso.fi/onto/yso/p1624>	ilmastovyöhykkeet
<http://www.yso.fi/onto/yso/p5004>	väestönmuutokset
<http://www.yso.fi/onto/yso/p5344>	väestöhistoria
<http://www.yso.fi/onto/yso/p16323>	asutushistoria
<http://www.yso.fi/onto/yso/p594>	viljanviljely
<http://www.yso.fi/onto/yso/p6713>	maankäyttö
<http://www.yso.fi/onto/yso/p94426>	Suomi
