<http://www.yso.fi/onto/yso/p13128>	Saimaan kanava
<http://www.yso.fi/onto/yso/p3244>	autonomian aika
<http://www.yso.fi/onto/yso/p4257>	kannattavuus
<http://www.yso.fi/onto/yso/p4316>	kanavaliikenne
<http://www.yso.fi/onto/yso/p12212>	tavaraliikenne
<http://www.yso.fi/onto/yso/p1918>	laivaliikenne
<http://www.yso.fi/onto/yso/p7082>	vesikulkuneuvot
<http://www.yso.fi/onto/yso/p17785>	puukauppa
<http://www.yso.fi/onto/yso/p26732>	viljakauppa
<http://www.yso.fi/onto/yso/p4501>	vilja
<http://www.yso.fi/onto/yso/p1742>	sahatavara
<http://www.yso.fi/onto/yso/p6947>	vesikuljetus
<http://www.yso.fi/onto/yso/p7904>	modernisaatio
<http://www.yso.fi/onto/yso/p94426>	Suomi
<http://www.yso.fi/onto/yso/p94161>	Itä-Suomi
