<http://www.yso.fi/onto/yso/p18805>	aatehistoria
<http://www.yso.fi/onto/yso/p12361>	ammattiliitot
<http://www.yso.fi/onto/yso/p742>	demokratia
<http://www.yso.fi/onto/yso/p21757>	käsitehistoria
<http://www.yso.fi/onto/yso/p812>	parlamentarismi
<http://www.yso.fi/onto/yso/p3285>	sosiaaliturva
<http://www.yso.fi/onto/yso/p447>	sosialismi
<http://www.yso.fi/onto/yso/p1377>	suunnittelu
<http://www.yso.fi/onto/yso/p8526>	totalitarismi
<http://www.yso.fi/onto/yso/p4064>	vapaus
<http://www.yso.fi/onto/yso/p104990>	Iso-Britannia
