<http://www.yso.fi/onto/yso/p19288>	taidekokoelmat
<http://www.yso.fi/onto/yso/p3128>	yritykset
<http://www.yso.fi/onto/yso/p8619>	elinkeinoelämä
<http://www.yso.fi/onto/yso/p2897>	keräily
<http://www.yso.fi/onto/yso/p5604>	yhteiskuntavastuu
<http://www.yso.fi/onto/yso/p1760>	taiteen tukeminen
<http://www.yso.fi/onto/yso/p11171>	yrityskuva
<http://www.yso.fi/onto/yso/p19845>	taidehistoria
<http://www.yso.fi/onto/yso/p3746>	taiteentutkimus
<http://www.yso.fi/onto/yso/p2739>	kuvataide
<http://www.yso.fi/onto/yso/p8883>	maalaustaide
<http://www.yso.fi/onto/yso/p5694>	kuvanveisto
<http://www.yso.fi/onto/yso/p25706>	yritysyhteistyö
<http://www.yso.fi/onto/yso/p22016>	kulttuurinen pääoma
<http://www.yso.fi/onto/yso/p8159>	mesenaatit
<http://www.yso.fi/onto/yso/p6988>	markkinointiviestintä
<http://www.yso.fi/onto/yso/p23851>	brändit
<http://www.yso.fi/onto/yso/p7713>	institutionalismi
<http://www.yso.fi/onto/yso/p94426>	Suomi
