<http://www.yso.fi/onto/yso/p38424>	fyysinen hyvinvointi
<http://www.yso.fi/onto/yso/p1947>	hyvinvointi
<http://www.yso.fi/onto/yso/p2518>	peruskoulu
<http://www.yso.fi/onto/yso/p6564>	haasteet (ongelmat)
<http://www.yso.fi/onto/yso/p1117>	opettajat
<http://www.yso.fi/onto/yso/p7511>	rehtorit
<http://www.yso.fi/onto/yso/p8131>	oppilaat
<http://www.yso.fi/onto/yso/p1725>	luottamus
<http://www.yso.fi/onto/yso/p19019>	kunnioitus
<http://www.yso.fi/onto/yso/p15140>	arvostus
<http://www.yso.fi/onto/yso/p6334>	yhteistyö
<http://www.yso.fi/onto/yso/p105029>	Unkari
