<http://www.yso.fi/onto/yso/p25359>	prosopografia
<http://www.yso.fi/onto/yso/p10867>	aviovaimot
<http://www.yso.fi/onto/yso/p1684>	merimiehet
<http://www.yso.fi/onto/yso/p4189>	työläiset
<http://www.yso.fi/onto/yso/p5645>	satamakaupungit
<http://www.yso.fi/onto/yso/p8079>	kauppalaivat
<http://www.yso.fi/onto/yso/p3901>	varallisuus
<http://www.yso.fi/onto/yso/p8574>	kulutus
<http://www.yso.fi/onto/yso/p12764>	toimeentulo
<http://www.yso.fi/onto/yso/p7116>	kotitalous (oppiaineet)
<http://www.yso.fi/onto/yso/p9254>	ansiotyö
<http://www.yso.fi/onto/yso/p18764>	leskeys
<http://www.yso.fi/onto/yso/p12271>	karkaaminen
<http://www.yso.fi/onto/yso/p3282>	köyhäinhoito
<http://www.yso.fi/onto/yso/p3285>	sosiaaliturva
<http://www.yso.fi/onto/yso/p21597>	taloudellinen asema
<http://www.yso.fi/onto/yso/p2133>	sosiaalinen asema
<http://www.yso.fi/onto/yso/p408>	sosiaaliset verkostot
<http://www.yso.fi/onto/yso/p5522>	yhteisöllisyys
<http://www.yso.fi/onto/yso/p3920>	säätely
<http://www.yso.fi/onto/yso/p10493>	naishistoria
<http://www.yso.fi/onto/yso/p94426>	Suomi
<http://www.yso.fi/onto/yso/p94351>	Pori
