<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p11316>	suuri Pohjan sota
<http://www.yso.fi/onto/yso/p25359>	prosopografia
<http://www.yso.fi/onto/yso/p15594>	ruotsalaiset
<http://www.yso.fi/onto/yso/p2504>	sotilaat
<http://www.yso.fi/onto/yso/p10907>	hämäläiset
<http://www.yso.fi/onto/yso/p8437>	väestönsiirrot
<http://www.yso.fi/onto/yso/p13697>	asutuspolitiikka
<http://www.yso.fi/onto/yso/p6137>	sopeutuminen
<http://www.yso.fi/onto/yso/p7905>	akkulturaatio
<http://www.yso.fi/onto/yso/p1731>	integraatio
<http://www.yso.fi/onto/yso/p21034>	aika
<http://www.yso.fi/onto/yso/p3542>	työllistyminen
<http://www.yso.fi/onto/yso/p23530>	perheellistyminen
<http://www.yso.fi/onto/yso/p7946>	konfliktit
<http://www.yso.fi/onto/yso/p9112>	ratsutilat
<http://www.yso.fi/onto/yso/p1508>	sotilastorpat
<http://www.yso.fi/onto/yso/p94426>	Suomi
<http://www.yso.fi/onto/yso/p94383>	Ruotsi
<http://www.yso.fi/onto/yso/p105117>	Hämeen lääni
