<http://www.yso.fi/onto/yso/p16083>	rautatieasemat
<http://www.yso.fi/onto/yso/p11034>	rakennusperintö
<http://www.yso.fi/onto/yso/p8025>	arkkitehtuuri
<http://www.yso.fi/onto/yso/p18319>	entistäminen
<http://www.yso.fi/onto/yso/p18318>	konservointi
<http://www.yso.fi/onto/yso/p14327>	rekonstruktio
<http://www.yso.fi/onto/yso/p11872>	autenttisuus
<http://www.yso.fi/onto/yso/p7432>	tila
<http://www.yso.fi/onto/yso/p9979>	paikka
<http://www.yso.fi/onto/yso/p21034>	aika
<http://www.yso.fi/onto/yso/p16550>	käyttäjät
<http://www.yso.fi/onto/yso/p13609>	rakennussuojelu
<http://www.yso.fi/onto/yso/p8109>	muistitieto
<http://www.yso.fi/onto/yso/p16330>	kaupunkitutkimus
<http://www.yso.fi/onto/yso/p94255>	Lappeenranta
