<http://www.yso.fi/onto/yso/p472>	toimistorakennukset
<http://www.yso.fi/onto/yso/p4231>	puhtauspalvelut
<http://www.yso.fi/onto/yso/p8096>	siivous
<http://www.yso.fi/onto/yso/p5060>	ostopalvelut
<http://www.yso.fi/onto/yso/p5029>	laatu
<http://www.yso.fi/onto/yso/p20083>	mittausmenetelmät
<http://www.yso.fi/onto/yso/p5433>	sisäilma
<http://www.yso.fi/onto/yso/p5028>	ilmanlaatu
<http://www.yso.fi/onto/yso/p8544>	työympäristö
<http://www.yso.fi/onto/yso/p3101>	toimistot
<http://www.yso.fi/onto/yso/p15449>	terveysvaikutukset
<http://www.yso.fi/onto/yso/p21377>	koettu terveys
<http://www.yso.fi/onto/yso/p25469>	työteho
