<http://www.yso.fi/onto/yso/p13679>	liiketaloustiede
<http://www.yso.fi/onto/yso/p19497>	yrittäjyyskasvatus
<http://www.yso.fi/onto/yso/p1182>	yrittäjyys
<http://www.yso.fi/onto/yso/p1178>	yrittäjät
<http://www.yso.fi/onto/yso/p9743>	identiteetti
<http://www.yso.fi/onto/yso/p291>	persoonallisuuden piirteet
<http://www.yso.fi/onto/yso/p8691>	ominaisuudet
<http://www.yso.fi/onto/yso/p5619>	asenteet
<http://www.yso.fi/onto/yso/p5140>	opetussuunnitelmat
<http://www.yso.fi/onto/yso/p7401>	lukio
<http://www.yso.fi/onto/yso/p1117>	opettajat
<http://www.yso.fi/onto/yso/p10746>	opettajankoulutus
<http://www.yso.fi/onto/yso/p6332>	oppimiskäsitykset
<http://www.yso.fi/onto/yso/p6262>	elinikäinen oppiminen
<http://www.yso.fi/onto/yso/p9020>	integroitu opetus
<http://www.yso.fi/onto/yso/p94107>	Etelä-Pohjanmaa
