<http://www.yso.fi/onto/yso/p5977>	matkakertomukset
<http://www.yso.fi/onto/yso/p12083>	merenkulkijat
<http://www.yso.fi/onto/yso/p3214>	itämaat
<http://www.yso.fi/onto/yso/p3351>	kansallinen identiteetti
<http://www.yso.fi/onto/yso/p11114>	toiseus
<http://www.yso.fi/onto/yso/p5209>	kansainväliset suhteet
<http://www.yso.fi/onto/yso/p5992>	kulttuurisuhteet
<http://www.yso.fi/onto/yso/p13269>	diplomatia
<http://www.yso.fi/onto/yso/p5189>	amerikkalaiset
<http://www.yso.fi/onto/yso/p1813>	japanilaiset
<http://www.yso.fi/onto/yso/p18452>	kulttuurihistoria
<http://www.yso.fi/onto/yso/p13646>	orientalismi
<http://www.yso.fi/onto/yso/p105023>	Japani
<http://www.yso.fi/onto/yso/p105078>	Yhdysvallat
