<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p11168>	ruumiinkuva
<http://www.yso.fi/onto/yso/p3210>	kokeminen
<http://www.yso.fi/onto/yso/p826>	ylipaino
<http://www.yso.fi/onto/yso/p823>	lihavuus
<http://www.yso.fi/onto/yso/p825>	laihdutus
<http://www.yso.fi/onto/yso/p822>	painonhallinta
<http://www.yso.fi/onto/yso/p5290>	sukupuolierot
<http://www.yso.fi/onto/yso/p23102>	fyysinen aktiivisuus
<http://www.yso.fi/onto/yso/p916>	liikunta
<http://www.yso.fi/onto/yso/p11100>	terveyskäyttäytyminen
<http://www.yso.fi/onto/yso/p12732>	terveyden edistäminen
