<http://www.yso.fi/onto/yso/p14845>	sukupolvenvaihdos
<http://www.yso.fi/onto/yso/p3128>	yritykset
<http://www.yso.fi/onto/yso/p20094>	perheyritykset
<http://www.yso.fi/onto/yso/p16922>	elinkaari
<http://www.yso.fi/onto/yso/p1182>	yrittäjyys
<http://www.yso.fi/onto/yso/p20830>	omistajuus
<http://www.yso.fi/onto/yso/p2439>	liiketoiminta
<http://www.yso.fi/onto/yso/p1178>	yrittäjät
<http://www.yso.fi/onto/yso/p2794>	perhe (ilmiöt)
<http://www.yso.fi/onto/yso/p216>	ideologiat
<http://www.yso.fi/onto/yso/p11261>	yrityskulttuuri
