<http://www.yso.fi/onto/yso/p36>	viestintä
<http://www.yso.fi/onto/yso/p2494>	puheviestintä
<http://www.yso.fi/onto/yso/p6444>	sosiaaliset taidot
<http://www.yso.fi/onto/yso/p10590>	sosiaalinen vuorovaikutus
<http://www.yso.fi/onto/yso/p10591>	vuorovaikutus
<http://www.yso.fi/onto/yso/p14560>	dialogi
<http://www.yso.fi/onto/yso/p24064>	kompetenssi
<http://www.yso.fi/onto/yso/p19878>	metakognitio
<http://www.yso.fi/onto/yso/p3209>	kokemukset
<http://www.yso.fi/onto/yso/p10225>	työssäoppiminen
<http://www.yso.fi/onto/yso/p9365>	ammattitaito
<http://www.yso.fi/onto/yso/p4523>	tutkijat
<http://www.yso.fi/onto/yso/p9161>	tutkimusryhmät
<http://www.yso.fi/onto/yso/p4079>	ryhmätyö
<http://www.yso.fi/onto/yso/p23891>	kontekstuaalisuus
<http://www.yso.fi/onto/yso/p11915>	tieteidenvälisyys
<http://www.yso.fi/onto/yso/p3868>	kansainvälisyys
<http://www.yso.fi/onto/yso/p9695>	hermeneutiikka
