<http://www.yso.fi/onto/yso/p26033>	journalistiikka
<http://www.yso.fi/onto/yso/p1161>	journalismi
<http://www.yso.fi/onto/yso/p3537>	kirja-arvostelut
<http://www.yso.fi/onto/yso/p3536>	kirjallisuuskritiikki
<http://www.yso.fi/onto/yso/p2421>	sanomalehdet
<http://www.yso.fi/onto/yso/p8970>	kirjailijat
<http://www.yso.fi/onto/yso/p8113>	kirjallisuus
<http://www.yso.fi/onto/yso/p372>	kulttuuri (toimintatavat)
<http://www.yso.fi/onto/yso/p13915>	uutiset
<http://www.yso.fi/onto/yso/p15592>	mediakulttuuri
<http://www.yso.fi/onto/yso/p19705>	kulttuurijournalismi
