<http://www.yso.fi/onto/yso/p15334>	isyys
<http://www.yso.fi/onto/yso/p8420>	johtajuus
<http://www.yso.fi/onto/yso/p930>	maskuliinisuus
<http://www.yso.fi/onto/yso/p9137>	mieheys
<http://www.yso.fi/onto/yso/p8173>	miehet
<http://www.yso.fi/onto/yso/p23894>	johtajat
<http://www.yso.fi/onto/yso/p25989>	sosiaalinen sukupuoli
<http://www.yso.fi/onto/yso/p5291>	sukupuoli
<http://www.yso.fi/onto/yso/p2399>	tasa-arvo
<http://www.yso.fi/onto/yso/p9778>	yhteiskunta
<http://www.yso.fi/onto/yso/p94426>	Suomi
