<http://www.yso.fi/onto/yso/p159>	oppikirjat
<http://www.yso.fi/onto/yso/p5140>	opetussuunnitelmat
<http://www.yso.fi/onto/yso/p7643>	venäjän kieli
<http://www.yso.fi/onto/yso/p1584>	pedagogiikka
<http://www.yso.fi/onto/yso/p15589>	oppisisällöt
<http://www.yso.fi/onto/yso/p988>	opetusmenetelmät
<http://www.yso.fi/onto/yso/p11961>	opetustavoitteet
<http://www.yso.fi/onto/yso/p9310>	kielipolitiikka
<http://www.yso.fi/onto/yso/p21512>	kielellinen identiteetti
<http://www.yso.fi/onto/yso/p21845>	koulukulttuuri
<http://www.yso.fi/onto/yso/p372>	kulttuuri (toimintatavat)
<http://www.yso.fi/onto/yso/p94479>	Venäjä
