<http://www.yso.fi/onto/yso/p8512>	fantasia
<http://www.yso.fi/onto/yso/p14840>	fantasiakirjallisuus
<http://www.yso.fi/onto/yso/p1148>	sarjakuvat
<http://www.yso.fi/onto/yso/p17134>	genret
<http://www.yso.fi/onto/yso/p6895>	kerronta
<http://www.yso.fi/onto/yso/p10906>	narratologia
<http://www.yso.fi/onto/yso/p4990>	tarinat
<http://www.yso.fi/onto/yso/p7319>	maailma
<http://www.yso.fi/onto/yso/p27163>	visuaalinen lukutaito
<http://www.yso.fi/onto/yso/p17213>	intertekstuaalisuus
<http://www.yso.fi/onto/yso/p14600>	fiktio
<http://www.yso.fi/onto/yso/p22260>	sarjakuvahahmot
<http://www.yso.fi/onto/yso/p12236>	postmodernismi
<http://www.yso.fi/onto/yso/p6>	populaarikulttuuri
<http://www.yso.fi/onto/yso/p1362>	kansanperinne
<http://www.yso.fi/onto/yso/p7493>	kulttuurintutkimus
<http://www.yso.fi/onto/yso/p1066>	kirjallisuudentutkimus
