<http://www.yso.fi/onto/yso/p11690>	piano
<http://www.yso.fi/onto/yso/p1743>	soittaminen
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p2945>	oppiminen
<http://www.yso.fi/onto/yso/p5302>	oppimisvaikeudet
<http://www.yso.fi/onto/yso/p4781>	opiskelu
<http://www.yso.fi/onto/yso/p8131>	oppilaat
<http://www.yso.fi/onto/yso/p1808>	musiikki
<http://www.yso.fi/onto/yso/p4734>	motivaatio
<http://www.yso.fi/onto/yso/p7359>	musiikkikasvatus
<http://www.yso.fi/onto/yso/p13762>	erityispedagogiikka
<http://www.yso.fi/onto/yso/p94426>	Suomi
