<http://www.yso.fi/onto/yso/p24613>	suomi toisena kielenä
<http://www.yso.fi/onto/yso/p13523>	tekstintutkimus
<http://www.yso.fi/onto/yso/p11302>	kielenkäyttö
<http://www.yso.fi/onto/yso/p10824>	dialogisuus
<http://www.yso.fi/onto/yso/p2173>	kognitiivinen kielitiede
<http://www.yso.fi/onto/yso/p23316>	konstruktiokielioppi
<http://www.yso.fi/onto/yso/p5797>	kielitaito
<http://www.yso.fi/onto/yso/p10163>	kielen omaksuminen
<http://www.yso.fi/onto/yso/p11408>	kirjoitustaito
<http://www.yso.fi/onto/yso/p6804>	semantiikka
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p5590>	aikuiset
<http://www.yso.fi/onto/yso/p25912>	korpustutkimus
