<http://www.yso.fi/onto/yso/p14112>	verkkoviestintä
<http://www.yso.fi/onto/yso/p22409>	verkkojournalismi
<http://www.yso.fi/onto/yso/p20774>	sosiaalinen media
<http://www.yso.fi/onto/yso/p12510>	skandaalit
<http://www.yso.fi/onto/yso/p8418>	mielipiteet
<http://www.yso.fi/onto/yso/p21431>	uutisointi
<http://www.yso.fi/onto/yso/p15227>	otsikot
<http://www.yso.fi/onto/yso/p11302>	kielenkäyttö
<http://www.yso.fi/onto/yso/p17817>	diskurssi
<http://www.yso.fi/onto/yso/p21078>	diskurssintutkimus
<http://www.yso.fi/onto/yso/p17213>	intertekstuaalisuus
