<http://www.yso.fi/onto/yso/p10687>	jatkokoulutus
<http://www.yso.fi/onto/yso/p16262>	työelämä
<http://www.yso.fi/onto/yso/p10895>	yliopistot
<http://www.yso.fi/onto/yso/p183>	tutkimus
<http://www.yso.fi/onto/yso/p9728>	oppiva organisaatio
<http://www.yso.fi/onto/yso/p7816>	organisaatiotutkimus
<http://www.yso.fi/onto/yso/p8343>	osaaminen
<http://www.yso.fi/onto/yso/p2945>	oppiminen
<http://www.yso.fi/onto/yso/p272>	organisaatiot (järjestelmät)
<http://www.yso.fi/onto/yso/p23894>	johtajat
<http://www.yso.fi/onto/yso/p21717>	tohtorikoulutus
<http://www.yso.fi/onto/yso/p5103>	oppimisprosessi
<http://www.yso.fi/onto/yso/p554>	johtaminen
<http://www.yso.fi/onto/yso/p26671>	kehysanalyysi
<http://www.yso.fi/onto/yso/p8498>	konstruktivismi
