<http://www.yso.fi/onto/yso/p5301>	lukihäiriöt
<http://www.yso.fi/onto/yso/p5303>	dysleksia
<http://www.yso.fi/onto/yso/p7413>	arviointi
<http://www.yso.fi/onto/yso/p21856>	nimeäminen
<http://www.yso.fi/onto/yso/p23025>	fonologinen tietoisuus
<http://www.yso.fi/onto/yso/p24920>	kognitiiviset taidot
<http://www.yso.fi/onto/yso/p16430>	ravintoainevalmisteet
<http://www.yso.fi/onto/yso/p2629>	tukiopetus
<http://www.yso.fi/onto/yso/p10162>	kielellinen kehitys
<http://www.yso.fi/onto/yso/p2234>	kielelliset häiriöt
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p11406>	lukeminen (toiminta)
