<http://www.yso.fi/onto/yso/p2428>	laulaminen
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p10746>	opettajankoulutus
<http://www.yso.fi/onto/yso/p1117>	opettajat
<http://www.yso.fi/onto/yso/p25853>	musiikkipedagogiikka
<http://www.yso.fi/onto/yso/p4573>	ääni
<http://www.yso.fi/onto/yso/p2492>	puhe (ilmiöt)
<http://www.yso.fi/onto/yso/p1808>	musiikki
<http://www.yso.fi/onto/yso/p84>	koulutus
<http://www.yso.fi/onto/yso/p11843>	ilmaisu
<http://www.yso.fi/onto/yso/p15560>	äänihäiriöt
<http://www.yso.fi/onto/yso/p13922>	kokonaisvaltaisuus
