<http://www.yso.fi/onto/yso/p1810>	työ
<http://www.yso.fi/onto/yso/p3542>	työllistyminen
<http://www.yso.fi/onto/yso/p11379>	työorientaatio
<http://www.yso.fi/onto/yso/p16262>	työelämä
<http://www.yso.fi/onto/yso/p8831>	työmarkkinat
<http://www.yso.fi/onto/yso/p20563>	segregaatio
<http://www.yso.fi/onto/yso/p2399>	tasa-arvo
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p5291>	sukupuoli
<http://www.yso.fi/onto/yso/p4469>	insinöörit
<http://www.yso.fi/onto/yso/p24110>	vastavalmistuneet
