<http://www.yso.fi/onto/yso/p22036>	hyvinvointi (terveydellinen)
<http://www.yso.fi/onto/yso/p1947>	hyvinvointi (taloudellinen)
<http://www.yso.fi/onto/yso/p2797>	parisuhde
<http://www.yso.fi/onto/yso/p15872>	autonominen hermosto
<http://www.yso.fi/onto/yso/p10591>	vuorovaikutus
<http://www.yso.fi/onto/yso/p1855>	sanaton viestintä
<http://www.yso.fi/onto/yso/p7831>	kielellinen vuorovaikutus
<http://www.yso.fi/onto/yso/p23930>	synkronointi
<http://www.yso.fi/onto/yso/p2317>	fysiologia
<http://www.yso.fi/onto/yso/p26924>	vuorovaikutteinen kehityspsykoterapia
<http://www.yso.fi/onto/yso/p2797>	parisuhde
