<http://www.yso.fi/onto/yso/p6720>	monikielisyys
<http://www.yso.fi/onto/yso/p10956>	kaksikielisyys
<http://www.yso.fi/onto/yso/p10957>	äidinkieli
<http://www.yso.fi/onto/yso/p10957>	äidinkieli
<http://www.yso.fi/onto/yso/p5296>	oppiaineet
<http://www.yso.fi/onto/yso/p17005>	toinen kieli
<http://www.yso.fi/onto/yso/p24613>	suomi toisena kielenä
<http://www.yso.fi/onto/yso/p9743>	identiteetti
<http://www.yso.fi/onto/yso/p21512>	kielellinen identiteetti
<http://www.yso.fi/onto/yso/p8110>	elämäkertatutkimus
<http://www.yso.fi/onto/yso/p6165>	maahanmuuttajat
<http://www.yso.fi/onto/yso/p386>	koulut
<http://www.yso.fi/onto/yso/p5140>	opetussuunnitelmat
