<http://www.yso.fi/onto/yso/p2699>	valokuvat
<http://www.yso.fi/onto/yso/p9195>	työvaatteet
<http://www.yso.fi/onto/yso/p7245>	suojavaatteet
<http://www.yso.fi/onto/yso/p3594>	vaatteet
<http://www.yso.fi/onto/yso/p4733>	pukeutuminen
<http://www.yso.fi/onto/yso/p18>	osuustoiminta
<http://www.yso.fi/onto/yso/p1232>	mainonta
<http://www.yso.fi/onto/yso/p1075>	työntekijät
<http://www.yso.fi/onto/yso/p9138>	mieskuva
<http://www.yso.fi/onto/yso/p11173>	naiskuva
<http://www.yso.fi/onto/yso/p3603>	semiotiikka
