<http://www.yso.fi/onto/yso/p18306>	ikäjohtaminen
<http://www.yso.fi/onto/yso/p4637>	ikääntyvät työntekijät
<http://www.yso.fi/onto/yso/p12871>	henkilöstöjohtaminen
<http://www.yso.fi/onto/yso/p12911>	erilaisuus
<http://www.yso.fi/onto/yso/p1810>	työ
<http://www.yso.fi/onto/yso/p135>	jaksaminen
<http://www.yso.fi/onto/yso/p17226>	kuormitus
<http://www.yso.fi/onto/yso/p1236>	palaute
<http://www.yso.fi/onto/yso/p4737>	palkitseminen
<http://www.yso.fi/onto/yso/p20743>	tieto- ja viestintätekniikka
<http://www.yso.fi/onto/yso/p7498>	tieto- ja viestintätekniikka-ala
<http://www.yso.fi/onto/yso/p8543>	työyhteisöt
<http://www.yso.fi/onto/yso/p14418>	roolit (odotettu käyttäytyminen)
