<http://www.yso.fi/onto/yso/p5140>	opetussuunnitelmat
<http://www.yso.fi/onto/yso/p2630>	opetus
<http://www.yso.fi/onto/yso/p157>	oppimateriaali
<http://www.yso.fi/onto/yso/p3845>	kehitysyhteistyö
<http://www.yso.fi/onto/yso/p10647>	monikulttuurisuus
<http://www.yso.fi/onto/yso/p10645>	kulttuurienvälisyys
<http://www.yso.fi/onto/yso/p7359>	musiikkikasvatus
<http://www.yso.fi/onto/yso/p17513>	soitinrakennus
<http://www.yso.fi/onto/yso/p10746>	opettajankoulutus
<http://www.yso.fi/onto/yso/p15089>	esikoulu
<http://www.yso.fi/onto/yso/p107644>	Swazimaa
