<http://www.yso.fi/onto/yso/p8113>	kirjallisuus
<http://www.yso.fi/onto/yso/p1056>	filosofia
<http://www.yso.fi/onto/yso/p14603>	kielifilosofia
<http://www.yso.fi/onto/yso/p1055>	ontologia (filosofia)
<http://www.yso.fi/onto/yso/p15994>	tietoteoria
<http://www.yso.fi/onto/yso/p3603>	semiotiikka
<http://www.yso.fi/onto/yso/p15960>	eksistenssi
<http://www.yso.fi/onto/yso/p20306>	pysyvyys
<http://www.yso.fi/onto/yso/p624>	järjestys
<http://www.yso.fi/onto/yso/p21058>	epäjärjestys
<http://www.yso.fi/onto/yso/p5016>	todellisuus
<http://www.yso.fi/onto/yso/p4511>	tulkinta
