<http://www.yso.fi/onto/yso/p1779>	paikallishistoriat (historiikit)
<http://www.yso.fi/onto/yso/p8107>	kaupunkihistoria
<http://www.yso.fi/onto/yso/p5582>	esikaupungit
<http://www.yso.fi/onto/yso/p15676>	rakennushistoria
<http://www.yso.fi/onto/yso/p18770>	kaupunkirakentaminen
<http://www.yso.fi/onto/yso/p8270>	kaupunkisuunnittelu
<http://www.yso.fi/onto/yso/p4058>	virkistysalueet
<http://www.yso.fi/onto/yso/p357>	kaupunginosat
<http://www.yso.fi/onto/yso/p8475>	kulttuuriperintö
<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p94320>	Oulu
