<http://www.yso.fi/onto/yso/p2901>	harrastukset
<http://www.yso.fi/onto/yso/p2428>	laulaminen
<http://www.yso.fi/onto/yso/p27481>	kuorolaulu
<http://www.yso.fi/onto/yso/p13121>	musiikkiluokat
<http://www.yso.fi/onto/yso/p28417>	lapsikuorot
<http://www.yso.fi/onto/yso/p795>	vaikutukset
<http://www.yso.fi/onto/yso/p8998>	sosiaalinen pääoma
<http://www.yso.fi/onto/yso/p10759>	elämänlaatu
<http://www.yso.fi/onto/yso/p6936>	ihmissuhteet
<http://www.yso.fi/onto/yso/p9000>	ystävyys
<http://www.yso.fi/onto/yso/p565>	esiintymistaito
<http://www.yso.fi/onto/yso/p3868>	kansainvälisyys
