<http://www.yso.fi/onto/yso/p2746>	kasvatusfilosofia
<http://www.yso.fi/onto/yso/p20873>	draamakasvatus
<http://www.yso.fi/onto/yso/p9486>	kouluympäristö
<http://www.yso.fi/onto/yso/p8557>	luokkayhteisö
<http://www.yso.fi/onto/yso/p6568>	näyttämöt
<http://www.yso.fi/onto/yso/p8131>	oppilaat
<http://www.yso.fi/onto/yso/p5164>	osallisuus
<http://www.yso.fi/onto/yso/p20691>	itsensä toteuttaminen
<http://www.yso.fi/onto/yso/p9743>	identiteetti
<http://www.yso.fi/onto/yso/p15960>	eksistenssi
<http://www.yso.fi/onto/yso/p10824>	dialogisuus
<http://www.yso.fi/onto/yso/p10591>	vuorovaikutus
