<http://www.yso.fi/onto/yso/p18805>	aatehistoria
<http://www.yso.fi/onto/yso/p11147>	itsenäisyysliikkeet
<http://www.yso.fi/onto/yso/p4143>	oikeistoliikkeet
<http://www.yso.fi/onto/yso/p7468>	puheet (tuotokset)
<http://www.yso.fi/onto/yso/p4280>	yleisö
<http://www.yso.fi/onto/yso/p23837>	antikapitalismi
<http://www.yso.fi/onto/yso/p3937>	uskonnollisuus
<http://www.yso.fi/onto/yso/p4840>	talonpoikaiskapinat
<http://www.yso.fi/onto/yso/p19>	ääriliikkeet
<http://www.yso.fi/onto/yso/p1783>	jääkäriliike
<http://www.yso.fi/onto/yso/p94107>	Etelä-Pohjanmaa
