<http://www.yso.fi/onto/yso/p17789>	taloushistoria
<http://www.yso.fi/onto/yso/p1134>	elinkeinovapaus
<http://www.yso.fi/onto/yso/p4901>	teollistuminen
<http://www.yso.fi/onto/yso/p15057>	kansantalous
<http://www.yso.fi/onto/yso/p2439>	liiketoiminta
<http://www.yso.fi/onto/yso/p1182>	yrittäjyys
<http://www.yso.fi/onto/yso/p28257>	taustatekijät
<http://www.yso.fi/onto/yso/p25041>	ammattitausta
<http://www.yso.fi/onto/yso/p12156>	koulutustausta
<http://www.yso.fi/onto/yso/p2138>	sosiaalinen tausta
<http://www.yso.fi/onto/yso/p2134>	sosioekonomiset tekijät
<http://www.yso.fi/onto/yso/p1427>	toimialat
<http://www.yso.fi/onto/yso/p21131>	kasvuyritykset
<http://www.yso.fi/onto/yso/p94426>	Suomi
