<http://www.yso.fi/onto/yso/p6720>	monikielisyys
<http://www.yso.fi/onto/yso/p5737>	alkuperäiskansat
<http://www.yso.fi/onto/yso/p11302>	kielenkäyttö
<http://www.yso.fi/onto/yso/p15403>	elokuvafestivaalit
<http://www.yso.fi/onto/yso/p11537>	saamelaiset
<http://www.yso.fi/onto/yso/p18720>	saamen kieli
<http://www.yso.fi/onto/yso/p1353>	sosiolingvistiikka
<http://www.yso.fi/onto/yso/p7493>	kulttuurintutkimus
<http://www.yso.fi/onto/yso/p11137>	vähemmistökielet
<http://www.yso.fi/onto/yso/p3835>	yhteisöt
<http://www.yso.fi/onto/yso/p21078>	diskurssintutkimus
<http://www.yso.fi/onto/yso/p19752>	kansatieteilijät
<http://www.yso.fi/onto/yso/p1631>	kielitiede
