<http://www.yso.fi/onto/yso/p372>	kulttuuri (toimintatavat)
<http://www.yso.fi/onto/yso/p13671>	kulttuuripolitiikka
<http://www.yso.fi/onto/yso/p20653>	taiteet
<http://www.yso.fi/onto/yso/p14416>	taidehallinto
<http://www.yso.fi/onto/yso/p21183>	taideala
<http://www.yso.fi/onto/yso/p1888>	taidepolitiikka
<http://www.yso.fi/onto/yso/p1822>	nationalismi
<http://www.yso.fi/onto/yso/p18250>	kansallisvaltio
<http://www.yso.fi/onto/yso/p3217>	älymystö
<http://www.yso.fi/onto/yso/p23734>	taidekäsitykset
<http://www.yso.fi/onto/yso/p9740>	vertaisarviointi (arviointimenetelmät)
<http://www.yso.fi/onto/yso/p16885>	kansalaisyhteiskunta
<http://www.yso.fi/onto/yso/p1903>	valtiontuki
<http://www.yso.fi/onto/yso/p12351>	taide-elämä
<http://www.yso.fi/onto/yso/p1822>	nationalismi
<http://www.yso.fi/onto/yso/p3100>	lautakunnat
<http://www.yso.fi/onto/yso/p15085>	asiantuntijuus
<http://www.yso.fi/onto/yso/p2552>	vallankäyttö
<http://www.yso.fi/onto/yso/p1760>	taiteen tukeminen
<http://www.yso.fi/onto/yso/p12104>	asiantuntijat
<http://www.yso.fi/onto/yso/p2551>	valta
<http://www.yso.fi/onto/yso/p14739>	korporativismi
<http://www.yso.fi/onto/yso/p14575>	taideyhdistykset
<http://www.yso.fi/onto/yso/p14058>	kulttuurijärjestöt
<http://www.yso.fi/onto/yso/p17516>	historiallinen sosiologia
<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p94426>	Suomi
