<http://www.yso.fi/onto/yso/p11373>	pienyrittäjät
<http://www.yso.fi/onto/yso/p3180>	suomalaiset
<http://www.yso.fi/onto/yso/p2439>	liiketoiminta
<http://www.yso.fi/onto/yso/p10823>	interaktiivisuus
<http://www.yso.fi/onto/yso/p5570>	verkostot
<http://www.yso.fi/onto/yso/p8998>	sosiaalinen pääoma
<http://www.yso.fi/onto/yso/p408>	sosiaaliset verkostot
<http://www.yso.fi/onto/yso/p411>	sosiaaliset suhteet
<http://www.yso.fi/onto/yso/p21615>	sosiaalinen toimintakyky
<http://www.yso.fi/onto/yso/p5522>	yhteisöllisyys
<http://www.yso.fi/onto/yso/p6936>	ihmissuhteet
<http://www.yso.fi/onto/yso/p3868>	kansainvälisyys
<http://www.yso.fi/onto/yso/p105209>	Espanja
<http://www.yso.fi/onto/yso/p107253>	Costa del Sol
