<http://www.yso.fi/onto/yso/p4>	kaunokirjallisuus
<http://www.yso.fi/onto/yso/p16348>	käännöskirjallisuus
<http://www.yso.fi/onto/yso/p17318>	kiinan kieli
<http://www.yso.fi/onto/yso/p6804>	semantiikka
<http://www.yso.fi/onto/yso/p5194>	reseptioestetiikka
<http://www.yso.fi/onto/yso/p9586>	kääntäminen
<http://www.yso.fi/onto/yso/p24663>	vastaanotto (reseptio)
<http://www.yso.fi/onto/yso/p18452>	kulttuurihistoria
<http://www.yso.fi/onto/yso/p14774>	tekijyys
<http://www.yso.fi/onto/yso/p4511>	tulkinta
<http://www.yso.fi/onto/yso/p11905>	konteksti
<http://www.yso.fi/onto/yso/p5001>	modernismi
<http://www.yso.fi/onto/yso/p17103>	kirjallisuudenhistoria
<http://www.yso.fi/onto/yso/p10645>	kulttuurienvälisyys
<http://www.yso.fi/onto/yso/p1066>	kirjallisuudentutkimus
<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p13671>	kulttuuripolitiikka
<http://www.yso.fi/onto/yso/p104984>	Kiina
<http://www.yso.fi/onto/yso/p94426>	Suomi
