<http://www.yso.fi/onto/yso/p9087>	running
<http://www.yso.fi/onto/yso/p3706>	walking (motion)
<http://www.yso.fi/onto/yso/p2339>	technology
<http://www.yso.fi/onto/yso/p38430>	techniques
<http://www.yso.fi/onto/yso/p2339>	technology
<http://www.yso.fi/onto/yso/p5056>	ageing
<http://www.yso.fi/onto/yso/p795>	effects (results)
<http://www.yso.fi/onto/yso/p421>	styles (phenomena)
<http://www.yso.fi/onto/yso/p3753>	mechanics
<http://www.yso.fi/onto/yso/p17226>	strains and stresses
<http://www.yso.fi/onto/yso/p3084>	wear
<http://www.yso.fi/onto/yso/p13757>	legs
<http://www.yso.fi/onto/yso/p14975>	joints (musculoskeletal system)
<http://www.yso.fi/onto/yso/p24005>	ankles
<http://www.yso.fi/onto/yso/p2784>	muscles
<http://www.yso.fi/onto/yso/p12766>	sports injuries
<http://www.yso.fi/onto/yso/p50>	injuries and disabilities
<http://www.yso.fi/onto/yso/p20292>	biomechanics
<http://www.yso.fi/onto/yso/p12766>	sports injuries
