<http://www.yso.fi/onto/yso/p3787>	glaciers
<http://www.yso.fi/onto/yso/p1174>	physical properties
<http://www.yso.fi/onto/yso/p3533>	modelling (creation related to information)
<http://www.yso.fi/onto/yso/p4787>	simulation
<http://www.yso.fi/onto/yso/p682>	ice
<http://www.yso.fi/onto/yso/p6240>	viscosity
<http://www.yso.fi/onto/yso/p16566>	plasticity
<http://www.yso.fi/onto/yso/p16803>	brittleness
<http://www.yso.fi/onto/yso/p15864>	elasticity (physical properties)
<http://www.yso.fi/onto/yso/p11522>	breakage
<http://www.yso.fi/onto/yso/p6798>	glaciology
<http://www.yso.fi/onto/yso/p21322>	materials research
<http://www.yso.fi/onto/yso/p6588>	numerical methods
