<http://www.yso.fi/onto/yso/p1030>	korkeakoulut
<http://www.yso.fi/onto/yso/p1117>	opettajat
<http://www.yso.fi/onto/yso/p8343>	osaaminen
<http://www.yso.fi/onto/yso/p8567>	digitaalitekniikka
<http://www.yso.fi/onto/yso/p18442>	verkkopedagogiikka
<http://www.yso.fi/onto/yso/p6621>	verkko-opetus
<http://www.yso.fi/onto/yso/p9270>	kurssit
<http://www.yso.fi/onto/yso/p24064>	kompetenssi
<http://www.yso.fi/onto/yso/p4835>	oppimisympäristö
<http://www.yso.fi/onto/yso/p1584>	pedagogiikka
<http://www.yso.fi/onto/yso/p1246>	korkeakouluopetus
