<http://www.yso.fi/onto/yso/p916>	liikunta
<http://www.yso.fi/onto/yso/p261>	tieto
<http://www.yso.fi/onto/yso/p20774>	sosiaalinen media
<http://www.yso.fi/onto/yso/p13035>	liikuntaharrastus
<http://www.yso.fi/onto/yso/p9824>	liikuntapalvelut
<http://www.yso.fi/onto/yso/p12104>	asiantuntijat
<http://www.yso.fi/onto/yso/p9583>	ohjeet
<http://www.yso.fi/onto/yso/p7637>	suositukset
<http://www.yso.fi/onto/yso/p21210>	mittarit (mittaus)
<http://www.yso.fi/onto/yso/p10823>	interaktiivisuus
<http://www.yso.fi/onto/yso/p5522>	yhteisöllisyys
<http://www.yso.fi/onto/yso/p19682>	liikuntapolitiikka
