<http://www.yso.fi/onto/yso/p47>	eläintaudit
<http://www.yso.fi/onto/yso/p5319>	koira
<http://www.yso.fi/onto/yso/p7306>	saksanpaimenkoira
<http://www.yso.fi/onto/yso/p675>	lemmikkieläimet
<http://www.yso.fi/onto/yso/p7316>	infektiot
<http://www.yso.fi/onto/yso/p7257>	homesienet
<http://www.yso.fi/onto/yso/p2414>	oireet
<http://www.yso.fi/onto/yso/p416>	diagnostiikka
<http://www.yso.fi/onto/yso/p824>	hoito
<http://www.yso.fi/onto/yso/p17497>	seuranta
<http://www.yso.fi/onto/yso/p3297>	ennusteet
<http://www.yso.fi/onto/yso/p1299>	sairauskertomukset
