<http://www.yso.fi/onto/yso/p916>	liikunta
<http://www.yso.fi/onto/yso/p965>	urheilu
<http://www.yso.fi/onto/yso/p13035>	liikuntaharrastus
<http://www.yso.fi/onto/yso/p15327>	nuoruus
<http://www.yso.fi/onto/yso/p7010>	merkitys (tärkeys)
<http://www.yso.fi/onto/yso/p2209>	sukupolvet
<http://www.yso.fi/onto/yso/p7196>	tytöt
<http://www.yso.fi/onto/yso/p10631>	kyselytutkimus
<http://www.yso.fi/onto/yso/p9002>	sosiaalisuus
<http://www.yso.fi/onto/yso/p2762>	terveys
<http://www.yso.fi/onto/yso/p38424>	fyysinen hyvinvointi
<http://www.yso.fi/onto/yso/p5234>	rentoutus
<http://www.yso.fi/onto/yso/p7384>	fyysinen kunto
